seed,variant,model,pct_concordance
50,random_25,Alloascoidea_hylecoeti,58.8597
50,random_25,Debaryomyces_hansenii,49.6792
50,random_25,Hanseniaspora_vinae,53.5558
50,random_25,Komagataella_pastoris,51.8521
50,random_25,Lipomyces_starkeyi,54.2345
50,random_25,Neurospora_crassa,60.6555
50,random_25,Pachysolen_tannophilus,51.1998
50,random_25,Saccharomycopsis_malanga,58.4646
50,random_25,Sporopachydermia_quercuum,50.0478
50,random_25,Tortispora_caseinolytica,60.3879
50,random_25,Torulaspora_delbrueckii,52.433
50,random_25,Wickerhamomyces_ciferrii,53.7921
50,random_25,Yarrowia_deformans,59.8493
50,random_50,Alloascoidea_hylecoeti,48.5651
50,random_50,Debaryomyces_hansenii,46.55
50,random_50,Hanseniaspora_vinae,45.6783
50,random_50,Komagataella_pastoris,53.5766
50,random_50,Lipomyces_starkeyi,53.1097
50,random_50,Neurospora_crassa,53.623
50,random_50,Pachysolen_tannophilus,53.4369
50,random_50,Saccharomycopsis_malanga,44.7054
50,random_50,Sporopachydermia_quercuum,48.1088
50,random_50,Tortispora_caseinolytica,50.1274
50,random_50,Torulaspora_delbrueckii,53.2439
50,random_50,Wickerhamomyces_ciferrii,53.4297
50,random_50,Yarrowia_deformans,53.376
50,random_75,Alloascoidea_hylecoeti,44.723
50,random_75,Debaryomyces_hansenii,42.1275
50,random_75,Hanseniaspora_vinae,42.4762
50,random_75,Komagataella_pastoris,44.8538
50,random_75,Lipomyces_starkeyi,44.3373
50,random_75,Neurospora_crassa,49.4254
50,random_75,Pachysolen_tannophilus,48.3548
50,random_75,Saccharomycopsis_malanga,47.0795
50,random_75,Sporopachydermia_quercuum,45.151
50,random_75,Tortispora_caseinolytica,49.6967
50,random_75,Torulaspora_delbrueckii,48.2345
50,random_75,Wickerhamomyces_ciferrii,44.9226
50,random_75,Yarrowia_deformans,49.2658
50,random_100,Alloascoidea_hylecoeti,41.44
50,random_100,Debaryomyces_hansenii,44.6728
50,random_100,Hanseniaspora_vinae,40.5636
50,random_100,Komagataella_pastoris,45.4105
50,random_100,Lipomyces_starkeyi,40.1258
50,random_100,Neurospora_crassa,45.9873
50,random_100,Pachysolen_tannophilus,40.2105
50,random_100,Saccharomycopsis_malanga,40.2029
50,random_100,Sporopachydermia_quercuum,39.8852
50,random_100,Tortispora_caseinolytica,46.1303
50,random_100,Torulaspora_delbrueckii,39.6424
50,random_100,Wickerhamomyces_ciferrii,44.9753
50,random_100,Yarrowia_deformans,41.891
51,random_0,Alloascoidea_hylecoeti,59.2625
51,random_0,Debaryomyces_hansenii,57.3596
51,random_0,Hanseniaspora_vinae,56.7319
